0	552	279	273	552	279	273	-	-	-
1	572	298	274	572	298	274	-	-	-
2	611	310	301	611	310	301	-	-	-
3	611	322	289	611	322	289	-	-	-
4	619	328	291	619	328	291	-	-	-
5	648	333	315	648	333	315	-	-	-
6	652	328	324	652	328	324	-	-	-
7	663	328	335	663	328	335	-	-	-
8	660	334	326	660	334	326	-	-	-
9	654	340	314	654	340	314	-	-	-
10	699	364	335	699	364	335	-	-	-
11	729	369	360	729	369	360	-	-	-
12	697	355	342	697	355	342	-	-	-
13	649	329	320	649	329	320	-	-	-
14	623	315	308	623	315	308	-	-	-
15	613	308	305	613	308	305	-	-	-
16	595	292	303	595	292	303	-	-	-
17	603	308	295	603	308	295	-	-	-
18	600	313	287	600	313	287	-	-	-
19	602	306	296	602	306	296	-	-	-
20	605	294	311	605	294	311	-	-	-
21	644	310	334	644	310	334	-	-	-
22	686	332	354	686	332	354	-	-	-
23	690	336	354	690	336	354	-	-	-
24	713	360	353	713	360	353	-	-	-
25	801	406	395	801	406	395	-	-	-
26	836	416	420	836	416	420	-	-	-
27	794	398	396	794	398	396	-	-	-
28	807	411	396	807	411	396	-	-	-
29	887	452	435	887	452	435	-	-	-
30	979	482	497	979	482	497	-	-	-
31	969	469	500	969	469	500	-	-	-
32	998	496	502	998	496	502	-	-	-
33	1076	536	540	1076	536	540	-	-	-
34	1180	603	577	1180	603	577	-	-	-
35	1293	667	626	1293	667	626	-	-	-
36	1339	666	673	1339	666	673	-	-	-
37	1318	677	641	1318	677	641	-	-	-
38	1291	665	626	1291	665	626	-	-	-
39	1313	645	668	1313	645	668	-	-	-
40	1318	650	668	1318	650	668	-	-	-
41	1277	650	627	1277	650	627	-	-	-
42	1281	654	627	1281	654	627	-	-	-
43	1281	649	632	1281	649	632	-	-	-
44	1239	622	617	1239	622	617	-	-	-
45	1168	583	585	1168	583	585	-	-	-
46	1068	515	553	1068	515	553	-	-	-
47	1026	487	539	1026	487	539	-	-	-
48	981	483	498	981	483	498	-	-	-
49	932	466	466	932	466	466	-	-	-
50	907	455	452	907	455	452	-	-	-
51	916	456	460	916	456	460	-	-	-
52	886	434	452	886	434	452	-	-	-
53	848	404	444	848	404	444	-	-	-
54	877	419	458	877	419	458	-	-	-
55	903	420	483	903	420	483	-	-	-
56	938	439	499	938	439	499	-	-	-
57	958	451	507	958	451	507	-	-	-
58	1022	459	563	1022	459	563	-	-	-
59	1135	491	644	1135	491	644	-	-	-
60	1215	544	671	1215	544	671	-	-	-
61	1298	590	708	1298	590	708	-	-	-
62	1373	608	765	1373	608	765	-	-	-
63	1424	619	805	1424	619	805	-	-	-
64	1476	641	835	1476	641	835	-	-	-
65	1460	635	825	1460	635	825	-	-	-
66	1432	615	817	1432	615	817	-	-	-
67	1415	601	814	1415	601	814	-	-	-
68	1384	583	801	1384	583	801	-	-	-
69	1315	546	769	1315	546	769	-	-	-
70	12154	4334	7820	12154	4334	7820	-	-	-
